Code SINOE EPCI adherant,Nom adherant,Code sinoe SYNDICAT,Nom syndicat
1834,Communauté dAgglomération du Grand Dax,5,Synd Trait Ordur Menag Côte Sud des Landes
2543,Communauté de Communes Maremne Adour Côte Sud,5,Synd Trait Ordur Menag Côte Sud des Landes
6139,Communauté de Communes Côte Landes Nature,5,Synd Trait Ordur Menag Côte Sud des Landes
6140,Communauté de Communes du Seignanx,5,Synd Trait Ordur Menag Côte Sud des Landes
53844,Communauté de Communes des Loges,7,Sictom de la Région de Châteauneuf Sur Loire
57804,Communauté de Communes Canaux et Forêts en Gâtinais,7,Sictom de la Région de Châteauneuf Sur Loire
57806,Communauté de Communes du Val de Sully,7,Sictom de la Région de Châteauneuf Sur Loire
21305,Communauté dAgglomération F57561lers Agglo,26,Sirtom de la Région Flers Condé
57870,Communauté de Communes Domfront Tinchebray Interco,26,Sirtom de la Région Flers Condé
57580,Communauté de Communes Terres de Bresse,34,Sivom du Louhannais
57586,Communauté de Communes Bresse Louhannaise Intercom,34,Sivom du Louhannais
57436,Communauté de Communes de Mirecourt Dompaire,59,Syndicat Mixte de Collecte et Traitement des Déchets Ménagers et Assimilés de la Région de Lerrain
57660,Communauté de Communes des Vosges Côté Sud Ouest,59,Syndicat Mixte de Collecte et Traitement des Déchets Ménagers et Assimilés de la Région de Lerrain
56883,Communauté de Communes de la Vallée de lOise et des Trois Forêts,64,Syndicat Tri Or
56884,Communauté de Communes Carnelle - Pays de France,64,Syndicat Tri Or
56885,Communauté de Communes du Haut Val dOise,64,Syndicat Tri Or
57866,Communauté de Communes des Pays de lAigle,66,Smirtom Région de lAigle
1240,Communauté de Communes Pays de Rouffach, Vignobles et Châteaux,102,Syndicat Mixte à Vocation Multiple pour le Traitement des Déchets Ménagers du Secteur 4 du Haut-rhin
57655,Communauté de Communes Sud Alsace Largue,102,Syndicat Mixte à Vocation Multiple pour le Traitement des Déchets Ménagers du Secteur 4 du Haut-rhin
675,Communauté de Communes de la Région de Guebwiller,102,Syndicat Mixte à Vocation Multiple pour le Traitement des Déchets Ménagers du Secteur 4 du Haut-rhin
968,Communauté de Communes de la Vallée de Saint Amarin,102,Syndicat Mixte à Vocation Multiple pour le Traitement des Déchets Ménagers du Secteur 4 du Haut-rhin
57652,Communauté dAgglomération de Mulhouse,103,Syndicat Intercommunal à Vocation Multiple de la Région Mulhousienne
57656,Communauté de Communes Sundgau,103,Syndicat Intercommunal à Vocation Multiple de la Région Mulhousienne
57581,Communauté de Communes Bresse Revermont 71,114,Siced Bresse Nord
57588,Communauté de Communes Bresse Nord Intercom,114,Siced Bresse Nord
24384,Communauté de Communes du Canton de la Chambre,122,Sirtom de Maurienne
24385,Communauté de Communes Porte de Maurienne,122,Sirtom de Maurienne
28142,Communauté de Communes Maurienne Galibier,122,Sirtom de Maurienne
57726,Communauté de Communes Haute Maurienne Vanoise,122,Sirtom de Maurienne
57727,Communauté de Communes Coeur de Maurienne Arvan,122,Sirtom de Maurienne
57775,Communauté de Communes Coteaux et Plaines du Pays Lafrançaisain,137,Sieeom du Sud-quercy
52836,Communauté dAgglomération Var Esterel Méditerranée,139,Syndicat Mixte du Développement Durable de lEst Var
52944,Communauté de Communes Anjou Bleu Communauté,147,Syndicat Intercommunal du Segreen pour le Traitement des Ordures
57546,Communauté de Communes des Vallées du Haut-anjou,147,Syndicat Intercommunal du Segreen pour le Traitement des Ordures
54066,Communauté de Communes de la Haute Deûle,171,Siriom
2433,Communauté de Communes du Pays de Mortagne au Perche,173,Smirtom du Perche Ornais
57863,Communauté de Communes Coeur du Perche,173,Smirtom du Perche Ornais
57867,Communauté de Communes des Hauts du Perche,173,Smirtom du Perche Ornais
57869,Communauté de Communes des Collines du Perche Normand,173,Smirtom du Perche Ornais
1393,Communauté de Communes de la Vallee des Baux-alpilles,191,Syndicat Mixte Sud Rhone Environnement
36688,Communauté de Communes Beaucaire Terre dArgence,191,Syndicat Mixte Sud Rhone Environnement
57651,Communauté dAgglomération dArles-crau-camargue-montagnette,191,Syndicat Mixte Sud Rhone Environnement
57761,Communauté de Communes des Terres du Lauragais,197,Syndicat Intercommunal pour les Ordures Ménagères de Revel
57762,Communauté de Communes Lauragais Revel Sorezois,197,Syndicat Intercommunal pour les Ordures Ménagères de Revel
56133,Communauté de Communes du Val dIlle-aubigné,204,Smictom du Pays de Fougeres
56403,Communauté de Communes Liffré-cormier Communauté,204,Smictom du Pays de Fougeres
57802,Communauté dAgglomération de Fougères,204,Smictom du Pays de Fougeres
57807,Communauté de Communes Couesnon Marches de Bretagne,204,Smictom du Pays de Fougeres
57713,Communauté dAgglomération du Puy-en-velay,217,Sictom des Monts du Forez
57714,Communauté de Communes des Rives du Haut Allier,217,Sictom des Monts du Forez
57716,Communauté de Communes Marches du Velay-rochebaron,217,Sictom des Monts du Forez
18033,Communauté de Communes du Pays de Lalbenque,279,Sictom des Marches du Sud Quercy
57108,Communauté de Communes du Quercy Blanc,279,Sictom des Marches du Sud Quercy
57099,Communauté de Communes de la Région de Molsheim-Mutzig,293,Syndicat Mixte pour la Collecte et le Traitement des Ordures Ménagères de Molsheim et Environs
57100,Communauté de Communes de la Vallée de la Bruche,293,Syndicat Mixte pour la Collecte et le Traitement des Ordures Ménagères de Molsheim et Environs
57101,Communauté de Communes des Portes de Rosheim,293,Syndicat Mixte pour la Collecte et le Traitement des Ordures Ménagères de Molsheim et Environs
57648,Communauté de Communes de la Mossig et du Vignoble,293,Syndicat Mixte pour la Collecte et le Traitement des Ordures Ménagères de Molsheim et Environs
56464,Communauté dAgglomération Luberon Monts de Vaucluse,329,Sieceutom de la Région de Cavaillon
698,Communauté Territoriale Sud Luberon,329,Sieceutom de la Région de Cavaillon
18636,Communauté de Communes du Val dEssonne,340,Siredom
27478,Communauté de Communes Entre Juine et Renarde,340,Siredom
52265,Communauté de Communes du Pays de Limours,340,Siredom
52266,Communauté de Communes le Dourdannais En Hurepoix,340,Siredom
56926,Communauté dAgglomération Coeur dEssonne Agglomération,340,Siredom
56935,Communauté dAgglomération Val dYerres Val de Seine,340,Siredom
56939,Communauté dAgglomération Grand Paris Sud Seine Essonne Sénart,340,Siredom
56870,Communauté de Communes lOrée de la Brie,341,Sivom de la Vallee de l Yerres et des Senarts
57308,Communauté de Communes de la Septaine,365,Sictrem de Baugy
57764,Communauté de Communes Berry-loire-vauvise,365,Sictrem de Baugy
3846,Cc des Vals dAix et Isable,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
52943,Charlieu Belmont Communaute,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
