id_region,region_code,name_region,slug_region,deleted_at,created_at,updated_at
1,84,Auvergne-Rhône-Alpes,,,2021-11-29 11:25:47,2021-11-29 11:25:47
2,52,Pays de la Loire,,,2021-11-29 11:25:47,2021-11-29 11:25:47
3,44,Grand Est,,,2021-11-29 11:25:47,2021-11-29 11:25:47
4,93,Provence-Alpes-Côte d'Azur,,,2021-11-29 11:25:47,2021-11-29 11:25:47
5,24,Centre-Val de Loire,,,2021-11-29 11:25:47,2021-11-29 11:25:47
6,27,Bourgogne-Franche-Comté,,,2021-11-29 11:25:47,2021-11-29 11:25:47
7,76,Occitanie,,,2021-11-29 11:25:47,2021-11-29 11:25:47
8,28,Normandie,,,2021-11-29 11:25:47,2021-11-29 11:25:47
9,94,Corse,,,2021-11-29 11:25:47,2021-11-29 11:25:47
10,11,Île-de-France,,,2021-11-29 11:25:47,2021-11-29 11:25:47
11,32,Hauts-de-France,,,2021-11-29 11:25:48,2021-11-29 11:25:48
12,01,Guadeloupe,,,2021-11-29 11:25:48,2021-11-29 11:25:48
13,75,Nouvelle Aquitaine,,,2021-11-29 11:25:48,2021-11-29 11:25:48
14,53,Bretagne,,,2021-11-29 11:25:48,2021-11-29 11:25:48
15,03,Guyane,,,2021-11-29 11:25:48,2021-11-29 11:25:48
16,02,Martinique,,,2021-11-29 11:25:48,2021-11-29 11:25:48
17,06,Mayotte,,,2021-11-29 11:25:48,2021-11-29 11:25:48
18,04,La Réunion,,,2021-11-29 11:25:48,2021-11-29 11:25:48
